"USN","Name","Course Code","Year","Section","Overall Attendance Rate (%)","CS301_9-6-2026_10_00_AM_11_00_AM","CS301_10-6-2026_10_00_AM_11_00_AM","CS301_10-6-2026_11_30_AM_12_30_PM","CS501_10-6-2026_10_00_AM_11_00_AM"
"02JST24UCS100","Shashank J","CS501","3","A","0%","A","A","A","A"
"TEST_USN_1785661120612","Test Student","CS501","3","A","0%","A","A","A","A"
"TEST_USN_1785661198374","Test Student","CS501","3","A","0%","A","A","A","A"
"TEST_USN_1785661257603","Test Student","CS501","3","A","0%","A","A","A","A"
"TEST_USN_1785761479327","Test Student","CS501","3","A","0%","A","A","A","A"
"TEST_USN_1785761562878","Test Student","CS501","3","A","0%","A","A","A","A"
"TEST_USN_1785761597408","Test Student","CS501","3","A","0%","A","A","A","A"
"TEST_USN_1785761611024","Test Student","CS501","3","A","0%","A","A","A","A"
"TEST_USN_1785938803736","Test Student","CS501","3","A","0%","A","A","A","A"
"TEST_USN_1785944235634","Test Student","CS501","3","A","0%","A","A","A","A"
